title,media,url,tags
中印邊境肉搏戰「印軍20死」印度政府被「逼到牆角」...糾紛恐升級,新頭殼,https://newtalk.tw/news/view/2020-06-18/423054,"中國, 印度, 肉搏戰, 莫迪, 新德里政策研究中心, 卡納德, 主權, 戰士, 美國之音, 民意, "
中印邊界衝突》印度秒改BSNL招標 快斬中國電信,新頭殼,https://newtalk.tw/news/view/2020-06-18/423078,"中國, 印度, 喜馬拉雅山, 拉達克加萬谷, Galwan Valley, IndiaTV, 印度電信部, BSNL, MTNL電信, 解放軍, 中國電信, 應用程式, 手機, 供應商, 數據, 電信設備, 新德里電信設備製造協會, 邊境, 中興通訊, 行動服務, 設備, 全印度商人聯合會, 化妝品, 玩具, 家具, 鞋類, 手錶, 印度民族主義組織, 中國上海隧道工程有限公司"
中印衝突互有傷亡 環時：印度須走出局勢誤判,聯合時報,https://udn.com/news/story/6809/4640979,"中國, 印度, 中共, 官媒, 環球時報, 軍力, 邊境, 新德里, 戰略, 輿論, 印太戰略, 精英, 洞朗地區, 領土, 主權, 槓杆, 支點, 華盛頓, GalwanValley, 邊境, 信號, 工程人員, 軍方, 前線部隊, 印度陸軍, "
中印邊界再爆3死衝突 雙邊軍方高層開會緩和局勢,中央社,https://www.cna.com.tw/news/firstnews/202006160205.aspx,"中央社, 康世人, 記者, 新德里, 印度, 中國, 拉達克, 加萬谷, 部隊, 衝突, 死亡, 印度陸軍, 局勢, GalwanValley, 阿魯納查省, Arunachal Pradesh, 巡邏部隊, 印度斯坦時報, 戰爭, 邊境, 手, 石塊, 木棍, 暴力衝突, 拉達克, 錫金, 外交管道, 拉達克班公錯湖, Pangong Tsolake, 準將, 上校, 納拉瓦內, Manoj Mukund Naravane, 軍團, 指揮官, 地區司令"
中印衝突升溫！ 中共秀肌肉劍指印度 西藏軍區實彈演習,聯合報,https://udn.com/news/story/6809/4640275,"中國, 印度, 共軍, 肌肉, 中共解放軍, 西藏, 念青唐古拉山脈, 遠火, 地導, 特戰, 陸航, 電抗, 工化, 戰鬥群, 目標, 高原, 中新社, 演習, 偵察, 情報, 障礙, 通路, 參數, 狙擊手, 觀察哨, 指令, 觀察, 火砲, 左翼, 右翼, 無人機, 地形, 戰術, "
美專家指中印邊境如戰 印度兵力地空佔優勢,法國國際廣播電台,http://www.rfi.fr/tw/%E4%B8%AD%E5%9C%8B/20200615-%E7%BE%8E%E5%B0%88%E5%AE%B6%E6%8C%87%E4%B8%AD%E5%8D%B0%E9%82%8A%E5%A2%83%E5%A6%82%E6%88%B0-%E5%8D%B0%E5%BA%A6%E5%85%B5%E5%8A%9B%E5%9C%B0%E7%A9%BA%E4%BD%94%E5%84%AA%E5%8B%A2,"中國, 印度, 關係, 美國, 研究, 1962, 飛彈, 兵力, 劣勢, 聯合新聞網, 局勢, 解放軍, IndiaToday, 美國哈佛大學甘迺迪政府學院, 貝爾弗爾科學與國際事務研究中心, 俄羅斯, 新疆, 西藏, 邊境, 防禦, 任務, 中國空軍, 解放軍西部戰區司令部, 戰機"
中印衝突：兩國外長滅火但堅持領土主張，「狼牙棒」武器曝光,BBC,https://www.bbc.com/zhongwen/trad/world-53076623,"中國, 印度, 加勒萬河谷, Galwan Valley, 外交部長, 蘇傑生, Subrahmanyam Jaishankar, 建築物, 王毅, 印度軍隊, 官兵, 局勢, 衝突, 領土, 主權, 印度外交部, 河谷, 信息, 來源, 總理, 莫迪, 和平, 趙立堅, 控制線, 行動, 暴力, 傷亡, 聲明, 邊防部隊, 軍長級, 共識, 實控線, 責任, 部隊, 協議, 俄羅斯國際文傳電訊社, 俄羅斯外交部, Ajai Shukla, 阿賈伊·舒克拉, BBC, 士兵, 印度軍方, 金屬棒, 媒體, 死傷人數, Robin Brant, 和平任務, 民族主義, 所有權, 西部戰區, 新聞發言人, 張水利, Anurag Srivastava, 電話, 托拉斯, 武器, 鐵棍, Ajai Shukla, 實際控制線, 根源, 河流, 湖泊, 積雪, 巡邏人員, 1975年, 阿魯納恰爾邦, 山口, 伏擊, 意外, 1996, 雙邊協議, 槍支, 炸藥, 拉達克班公錯, 錫金邦, 談判, 1962, 戰爭, 戰略目標, 資金, 人力, 公路, 鐵路. 橋樑, 機場, 項目"
中印邊界衝突：英媒披露細節——兩軍多數傷亡原因是「失足墜崖」,BBC,https://www.bbc.com/zhongwen/trad/world-53084025,"英國, 媒體, 軍事, 士兵, 傷亡, 衛報, 金融時報, 衝突, 細節, 印度, 中國, 槍支, 山脊, 拳腳, 鐵棍, 石塊, 莫迪, 領土, 協議, 北京, 德里, 前線部隊, 中國軍隊, 加勒萬河谷, 山谷, 言論, 國土, 英媒, 評論,  國際戰略, 南海, 台海, 香港, 主流媒體, 經濟學人, 期刊, 政經軍事實力, 決策層, 分析, 領導人, 政策, 邊境線, 小報, 社交媒體平台, 第三次世界大戰, 每日快報, 情緒, 發展"
中印爆衝突 印媒籲：制裁中國進口產品、加強台灣外交接觸！,自由時報,https://ec.ltn.com.tw/article/breakingnews/3200844,"加萬谷, 中國, 印度, Galwan Valley, 英文, 印度時報, The Times of India, 社論, 香港, 新疆, 西藏, 人權, 進口產品, 台灣, 外交, 編輯部, 拉達克, 中國軍隊, 1962, 武漢肺炎, COVID-19, 亞洲, 國家, 強權, 意願, 印太地區, 士兵, 世界衛生組織, 執行委員會, WHO, 疫情, "
邊界流血衝突引爆中印大戰？小布希幕僚、美智庫說話了,自由時報,https://news.ltn.com.tw/news/world/breakingnews/3201218,"中國, 印度, 拉達克, 傷亡, 大戰, 美國, 小布希, 幕僚, 智庫, 1962, 毛澤東, 藏南, 達旺, 1967, 邊境衝突, 錫金, 勝利, 1975, 錫金邦, 自由亞洲電台, 美國, 國務卿, 南亞事務政策規劃, Daniel Markey, 巴基斯坦, 武裝衝突, 東西中心, East West Center, 華盛頓, 副總裁, Satu Limaye, 戰爭, 南亞, 印太地區, 利益"
中印邊界：印度「籌建河底隧道」的戰略考量和各方反應,BBC,https://www.bbc.com/zhongwen/trad/world-53503811,"印度, 中國, 政府, 布拉馬普特拉河, 河底, 隧道, 邊界, 運輸, 青藏高原, 雅魯藏布江, 邊界, 主權, 戰爭, 流血衝突, 阿薩姆邦, 達斯, 德里, 公里, 莫迪, 東北部, 地區, 安全, 支流, 洪災, 流域, 生計, 恆河, 孟加拉, 孟加拉灣, 喜馬拉雅山麓, 阿魯納恰爾邦, 阿薩姆, 平原, 居民, 飲用水, 源, 雨季, 洪災, 大壩, 水文, 資料, 問題, 爭執, "
中印外交磋商邊境議題 同意對峙部隊儘早後撤,法國國際廣播電台,https://www.rti.org.tw/news/view/id/2073425,"印度, 中國, 外交, 管道, 拉達克, 控制線, 議題, 協議, 部隊, 僵局, 邊界, 事務, 機制, 小組, 會議, 外交部, 聲明, 東亞司, 斯里瓦斯塔瓦, 中國外交部, 海洋事務司, 洪亮, 局勢, 進程, 關係, 國安顧問, 多瓦爾, 國務委員, 外交部長, 王毅, 電話, 指揮官, 步驟, 階段, 班公錯湖, 德普桑, 平原, 行動"
中印邊界促進美印關係升溫 專家稱四方聯盟更緊密,自由時報,https://news.ltn.com.tw/news/world/breakingnews/3234925,"新聞, 中國, 印度, 邊界, 衝突, 關係, 升溫, 軍演, 專家, 邊境, 危機, 美, 日, 澳, 印, 四方聯盟, 美國之音, 印度智庫觀察者研究基金會, 項目, 總監, 賈伊尚卡爾, 印巴戰爭, 印度洋, 軍事, 代表, 態度, 美國智庫傳統基金會, 南亞, 史密斯, 軍事, 協議, 海軍, "